#Lattice_constant Temperature
2.5 2651.73
2.51 2398.87
2.52 2071.23
2.53 1751.14
2.54 1577.77
2.55 1416.18
2.56 1285.29
2.57 1207.27
2.58 1163.58
2.59 1117.49
2.6 1035.32
2.61 988.378
2.62 919.894
2.63 877.164
2.64 853.474
2.65 816.166
2.66 788.983
2.67 787.804
2.68 770.578
2.69 741.69
2.7 757.628
2.71 756.788
2.72 747.826
2.73 759.766
2.74 771.067
2.75 809.171
2.76 836.497
2.77 853.242
2.78 879.807
2.79 926.374
2.8 948.479
2.81 1009.38
2.82 1036.93
2.83 1060.38
2.84 1127.96
2.85 1202.12
2.86 1252.76
2.87 1288.16
2.88 1357.47
2.89 1425.44
2.9 1477.55
2.91 1487.3
2.92 1590.17
2.93 1723.66
2.94 1677.07
2.95 1820.94
2.96 1827.93
2.97 1929.58
2.98 1994.54
2.99 2068.28
3 2077.87
