#E_pot E_kin E_opt Temperature
10.2322 296.32 0 592.207
8.43741 295.831 0.500365 591.23
8.60282 296.178 1.00073 591.923
8.64824 296.743 1.5011 593.053
9.28977 296.642 2.00146 592.851
9.32115 297.134 2.50183 593.834
10.0898 296.835 3.00219 593.237
9.93632 297.475 3.50256 594.516
11.0209 297.052 4.00292 593.671
11.3737 297.276 4.50329 594.117
11.3293 297.803 5.00365 595.172
11.5032 298.106 5.50402 595.776
11.509 298.677 6.00439 596.917
12.3618 298.444 6.50475 596.452
12.5663 298.764 7.00512 597.091
13.0416 298.801 7.50548 597.165
12.9137 299.458 8.00585 598.478
12.7006 300.029 8.50621 599.62
13.4717 299.809 9.00658 599.179
13.3963 300.403 9.50694 600.368
14.5442 299.778 10.0073 599.117
14.1279 300.799 10.5077 601.158
14.6743 300.837 11.008 601.234
14.4806 301.526 11.5084 602.611
14.9886 301.509 12.0088 602.577
15.5902 301.489 12.5091 602.538
16.2556 301.312 13.0095 602.184
16.08 302.001 13.5099 603.56
16.3081 302.164 14.0102 603.888
16.2535 302.793 14.5106 605.144
16.6843 302.912 15.011 605.381
16.9985 303.052 15.5113 605.662
17.6987 302.995 16.0117 605.547
18.2352 303 16.5121 605.558
18.2201 303.552 17.0124 606.66
18.0403 304.218 17.5128 607.992
19.133 303.704 18.0132 606.964
18.7185 304.704 18.5135 608.963
18.6623 305.29 19.0139 610.135
19.9375 304.615 19.5143 608.785
20.2068 304.894 20.0146 609.342
21.4629 304.212 20.515 607.979
20.3768 305.801 21.0153 611.154
21.1927 305.539 21.5157 610.631
21.1625 306.114 22.0161 611.781
22.3757 305.478 22.5164 610.509
22.4494 305.865 23.0168 611.283
22.4478 306.359 23.5172 612.271
23.8795 305.451 24.0175 610.456
23.7487 306.179 24.5179 611.91
24.3308 306.02 25.0183 611.594
24.1157 306.754 25.5186 613.06
25.1548 306.303 26.019 612.159
25.0609 306.914 26.5194 613.38
25.0329 307.363 27.0197 614.278
25.7414 307.165 27.5201 613.882
25.8439 307.625 28.0205 614.801
25.7347 308.243 28.5208 616.036
25.9395 308.567 29.0212 616.683
27.3402 307.72 29.5216 614.99
26.7561 308.794 30.0219 617.137
28.24 307.959 30.5223 615.468
28.3103 308.348 31.0227 616.245
27.7833 309.394 31.523 618.335
28.8879 308.755 32.0234 617.059
27.6056 310.493 32.5238 620.533
29.2565 309.405 33.0241 618.357
29.0562 310.013 33.5245 619.573
29.052 310.631 34.0249 620.809
30.1578 310.069 34.5252 619.685
29.9582 310.859 35.0256 621.265
29.4893 311.791 35.5259 623.127
30.3641 311.52 36.0263 622.585
31.0932 311.296 36.5267 622.136
31.6436 311.321 37.027 622.188
31.1605 312.203 37.5274 623.95
31.6282 312.322 38.0278 624.188
32.0867 312.339 38.5281 624.222
32.3475 312.602 39.0285 624.747
32.5534 312.976 39.5289 625.495
32.8483 313.179 40.0292 625.9
33.0106 313.546 40.5296 626.634
33.2233 313.793 41.03 627.129
34.0753 313.444 41.5303 626.429
34.6129 313.523 42.0307 626.587
33.8084 314.776 42.5311 629.093
34.8008 314.31 43.0314 628.161
34.8623 314.755 43.5318 629.051
35.6569 314.633 44.0322 628.807
35.3824 315.364 44.5325 630.267
35.8116 315.471 45.0329 630.481
35.4425 316.26 45.5333 632.059
36.1231 316.092 46.0336 631.722
36.2999 316.418 46.534 632.373
37.0002 316.259 47.0344 632.057
36.1199 317.637 47.5347 634.811
37.1954 317.116 48.0351 633.768
37.3018 317.548 48.5354 634.632
37.4909 317.765 49.0358 635.066
38.8378 316.935 49.5362 633.407
38.1993 318.076 50.0365 635.687
39.0593 317.789 50.5369 635.114
39.0238 318.256 51.0373 636.046
39.9375 317.816 51.5376 635.168
39.78 318.475 52.038 636.485
39.3006 319.434 52.5384 638.402
40.807 318.555 53.0387 636.645
41.3959 318.592 53.5391 636.719
40.2039 320.239 54.0395 640.011
41.2022 319.728 54.5398 638.988
41.5684 319.857 55.0402 639.247
40.1401 321.729 55.5406 642.989
42.3928 320.161 56.0409 639.855
41.9363 321.131 56.5413 641.792
43.3744 320.244 57.0417 640.02
42.2193 321.939 57.542 643.407
44.4845 320.213 58.0424 639.959
44.1791 321.059 58.5428 641.648
43.1138 322.605 59.0431 644.738
43.2654 322.911 59.5435 645.349
42.9531 323.674 60.0439 646.876
43.6961 323.516 60.5442 646.559
44.5512 323.123 61.0446 645.775
44.9888 323.316 61.545 646.159
45.5691 323.207 62.0453 645.941
44.456 324.814 62.5457 649.153
46.1988 323.691 63.046 646.909
45.597 324.777 63.5464 649.08
46.9002 323.983 64.0468 647.494
47.0636 324.327 64.5471 648.181
48.298 323.644 65.0475 646.816
47.2884 325.148 65.5479 649.821
47.8858 324.979 66.0482 649.483
49.8552 323.605 66.5486 646.737
49.1384 324.783 67.049 649.092
49.8838 324.682 67.5493 648.89
49.6635 325.415 68.0497 650.355
50.2498 325.349 68.5501 650.223
49.9183 326.109 69.0504 651.741
49.9914 326.455 69.5508 652.434
50.77 326.273 70.0512 652.069
50.3799 327.169 70.5515 653.861
50.6965 327.386 71.0519 654.295
51.1205 327.44 71.5523 654.403
52.0047 327.125 72.0526 653.773
52.7964 326.877 72.553 653.277
52.6797 327.538 73.0534 654.598
54.404 326.395 73.5537 652.314
53.7894 327.447 74.0541 654.416
53.6625 328.068 74.5545 655.656
54.2797 327.942 75.0548 655.404
54.202 328.513 75.5552 656.546
54.6215 328.622 76.0555 656.763
54.9149 328.939 76.5559 657.397
54.4481 329.84 77.0563 659.198
55.6225 329.204 77.5566 657.927
55.2979 330.063 78.057 659.643
55.5051 330.31 78.5574 660.137
55.8897 330.45 79.0577 660.417
57.1988 329.741 79.5581 659
58.8722 328.541 80.0585 656.602
57.712 330.231 80.5588 659.981
57.688 330.809 81.0592 661.134
57.0115 331.925 81.5596 663.365
58.085 331.284 82.0599 662.083
58.2122 331.748 82.5603 663.012
58.1537 332.267 83.0607 664.049
57.474 333.492 83.561 666.496
60.3613 331.101 84.0614 661.718
57.9511 333.919 84.5618 667.351
58.8891 333.567 85.0621 666.646
59.8338 333.131 85.5625 665.776
59.7141 333.788 86.0629 667.088
60.0276 334.025 86.5632 667.562
60.5316 333.998 87.0636 667.508
61.1227 333.902 87.564 667.315
60.9637 334.528 88.0643 668.568
61.2979 334.752 88.5647 669.014
62.0112 334.627 89.0651 668.766
62.968 334.082 89.5654 667.676
62.5164 335.055 90.0658 669.621
63.2003 334.853 90.5661 669.217
64.1329 334.45 91.0665 668.411
64.4314 334.687 91.5669 668.885
65.7037 333.95 92.0672 667.411
65.7639 334.458 92.5676 668.428
65.2356 335.429 93.068 670.369
64.619 336.505 93.5683 672.519
64.6668 337.138 94.0687 673.783
65.6729 336.59 94.5691 672.689
65.9495 336.83 95.0694 673.168
66.0203 337.2 95.5698 673.907
66.4058 337.363 96.0702 674.234
67.3853 336.987 96.5705 673.481
66.9029 337.886 97.0709 675.278
68.7933 336.544 97.5713 672.596
69.6918 336.241 98.0716 671.991
71.1703 335.351 98.572 670.211
70.7367 336.267 99.0724 672.043
70.6154 336.967 99.5727 673.441
69.8156 338.248 100.073 676.002
70.5413 338.034 100.573 675.574
71.2019 337.907 101.074 675.32
71.5233 338.095 101.574 675.695
71.544 338.653 102.075 676.812
71.9509 338.761 102.575 677.027
72.1168 339.15 103.075 677.804
72.7421 338.92 103.576 677.345
73.2736 338.948 104.076 677.4
73.9289 338.806 104.576 677.117
74.23 338.983 105.077 677.472
74.7882 338.906 105.577 677.316
74.4188 339.745 106.077 678.994
74.6166 340.182 106.578 679.867
75.3132 340.078 107.078 679.659
76.7381 339.182 107.579 677.869
75.8568 340.53 108.079 680.563
76.6709 340.313 108.579 680.13
76.1527 341.341 109.08 682.183
76.7702 341.214 109.58 681.929
77.3656 341.248 110.08 681.998
77.1995 341.887 110.581 683.274
76.763 342.832 111.081 685.162
77.7954 342.341 111.581 684.183
79.2424 341.469 112.082 682.439
78.8515 342.396 112.582 684.291
78.6019 343.076 113.083 685.651
80.2928 341.96 113.583 683.42
79.5804 343.19 114.083 685.878
80.6358 342.68 114.584 684.86
80.7394 343.14 115.084 685.778
82.1263 342.225 115.584 683.95
82.2946 342.626 116.085 684.752
82.5969 342.785 116.585 685.07
82.5761 343.337 117.086 686.172
83.677 342.699 117.586 684.898
84.5112 342.361 118.086 684.222
85.1206 342.219 118.587 683.938
83.8002 344.042 119.087 687.581
84.2217 344.183 119.587 687.864
84.7909 344.098 120.088 687.694
83.0779 346.317 120.588 692.129
83.2963 346.601 121.088 692.695
84.1961 346.131 121.589 691.757
83.724 347.092 122.089 693.677
84.1943 347.304 122.59 694.101
85.2584 346.685 123.09 692.864
87.3117 345.121 123.59 689.738
85.187 347.707 124.091 694.906
86.1674 347.252 124.591 693.998
86.4666 347.413 125.091 694.318
87.5381 346.957 125.592 693.408
88.198 346.82 126.092 693.132
87.2449 348.274 126.592 696.039
89.1469 346.836 127.093 693.166
88.3678 348.225 127.593 695.941
88.9756 348.104 128.094 695.699
91.1712 346.516 128.594 692.526
87.7672 350.413 129.094 700.313
87.4785 351.302 129.595 702.091
88.1246 351.152 130.095 701.791
88.1848 351.577 130.595 702.641
89.1226 351.139 131.096 701.764
90.3635 350.443 131.596 700.374
89.4402 351.859 132.096 703.203
89.2558 352.588 132.597 704.661
91.5012 350.842 133.097 701.172
90.426 352.406 133.598 704.298
92.0873 351.352 134.098 702.191
91.6833 352.27 134.598 704.026
91.4744 352.997 135.099 705.479
93.469 351.537 135.599 702.56
93.2519 352.241 136.099 703.966
93.9969 351.887 136.6 703.259
93.3622 353.057 137.1 705.598
93.5178 353.326 137.601 706.135
94.1923 353.15 138.101 705.783
96.1728 351.796 138.601 703.078
95.5343 352.878 139.102 705.24
96.84 352.133 139.602 703.751
94.8413 354.61 140.102 708.703
97.171 352.844 140.603 705.173
96.1092 354.358 141.103 708.197
96.1465 354.864 141.603 709.209
96.5478 354.92 142.104 709.322
95.4806 356.437 142.604 712.353
96.7465 355.713 143.105 710.907
96.089 356.796 143.605 713.072
97.0066 356.484 144.105 712.447
98.1872 355.918 144.606 711.316
99.439 355.135 145.106 709.752
99.2231 355.853 145.606 711.186
100.912 354.694 146.107 708.87
101.273 354.849 146.607 709.18
100.927 355.716 147.107 710.913
101.229 355.877 147.608 711.235
101.698 355.966 148.108 711.412
101.174 356.927 148.609 713.333
101.639 356.925 149.109 713.329
